x=chi_perp	y=chi_par	z=eta	v=Mtot	data=Log10[Mean[Mismatch]]	Overall_Training_Rel.Diff. = 0.00325703
x=chi_perp	y=chi_par	z=eta	v=Mtot	Overall_chiSqDoF. = 0.62428	Overall_reduced_Rsq = 0.992667
Coefs_below_for_fit(x,y,z,v)	Use_these_directly	x=x	y=y	z=z	v=v
i	j	k	l	C[i,j,k,l]	Max[Log10[Mismatch]]
0	0	0	2	1	-1.7125150856847384
1	0	0	2	1	-1.7125150856847384
2	0	0	2	1	-1.7125150856847384
3	0	0	2	1	-1.7125150856847384
4	0	0	2	1	-1.7125150856847384
5	0	0	2	1	-1.7125150856847384
0	1	0	2	1	-1.7125150856847384
1	1	0	2	1	-1.7125150856847384
2	1	0	2	1	-1.7125150856847384
3	1	0	2	1	-1.7125150856847384
4	1	0	2	1	-1.7125150856847384
5	1	0	2	1	-1.7125150856847384
0	2	0	2	1	-1.7125150856847384
1	2	0	2	1	-1.7125150856847384
2	2	0	2	1	-1.7125150856847384
3	2	0	2	1	-1.7125150856847384
4	2	0	2	1	-1.7125150856847384
5	2	0	2	1	-1.7125150856847384
0	3	0	2	1	-1.7125150856847384
1	3	0	2	1	-1.7125150856847384
2	3	0	2	1	-1.7125150856847384
3	3	0	2	1	-1.7125150856847384
4	3	0	2	1	-1.7125150856847384
5	3	0	2	1	-1.7125150856847384
0	0	0	0	1630.7480635121406	-1.7125150856847384
0	0	0	1	17.79547650189712	-1.7125150856847384
0	0	0	3	-8.65150836761754	-1.7125150856847384
0	0	1	0	-17786.466075124623	-1.7125150856847384
0	0	1	1	-332.67017541127296	-1.7125150856847384
0	0	1	2	1138.565983417235	-1.7125150856847384
0	0	1	3	0.02795903748396382	-1.7125150856847384
0	0	2	0	-31617.022008870284	-1.7125150856847384
0	0	2	1	-389.63327539715766	-1.7125150856847384
0	0	2	2	-23703.23112846462	-1.7125150856847384
0	0	2	3	317.41043102778593	-1.7125150856847384
0	1	0	0	2037.4197571823208	-1.7125150856847384
0	1	0	1	-45.754715829658885	-1.7125150856847384
0	1	0	3	11.643414395441132	-1.7125150856847384
0	1	1	0	3215.805054731892	-1.7125150856847384
0	1	1	1	203.5116274774089	-1.7125150856847384
0	1	1	2	-36119.53365218192	-1.7125150856847384
0	1	1	3	-131.28157041281398	-1.7125150856847384
0	1	2	0	251070.45182834932	-1.7125150856847384
0	1	2	1	2912.0472133655553	-1.7125150856847384
0	1	2	2	-444854.26783605234	-1.7125150856847384
0	1	2	3	1222.4361214141618	-1.7125150856847384
0	2	0	0	985.5655438095171	-1.7125150856847384
0	2	0	1	191.92845610202122	-1.7125150856847384
0	2	0	3	-178.0468626652866	-1.7125150856847384
0	2	1	0	86130.54126848918	-1.7125150856847384
0	2	1	1	1852.1960534641162	-1.7125150856847384
0	2	1	2	38256.56663164673	-1.7125150856847384
0	2	1	3	0.23100877260777908	-1.7125150856847384
0	2	2	0	-380340.88440694	-1.7125150856847384
0	2	2	1	-6944.777927914776	-1.7125150856847384
0	2	2	2	-55921.3171316959	-1.7125150856847384
0	2	2	3	-510.6591841193466	-1.7125150856847384
0	3	0	0	-36174.744040034115	-1.7125150856847384
0	3	0	1	-331.1197290792299	-1.7125150856847384
0	3	0	3	-4.560335884384395	-1.7125150856847384
0	3	1	0	-209510.40435860457	-1.7125150856847384
0	3	1	1	-214.69124190663217	-1.7125150856847384
0	3	1	2	-76464.08288327183	-1.7125150856847384
0	3	1	3	-572.5626409753036	-1.7125150856847384
0	3	2	0	1.3747635057584546e6	-1.7125150856847384
0	3	2	1	12602.237007263684	-1.7125150856847384
0	3	2	2	204691.06656576644	-1.7125150856847384
0	3	2	3	-2816.301321133366	-1.7125150856847384
1	0	0	0	-19676.93580330459	-1.7125150856847384
1	0	0	1	-207.72539373588887	-1.7125150856847384
1	0	0	3	1.6146502588843386	-1.7125150856847384
1	0	1	0	12016.574765065547	-1.7125150856847384
1	0	1	1	1069.619015090046	-1.7125150856847384
1	0	1	2	308.6865735744648	-1.7125150856847384
1	0	1	3	-475.7212686526984	-1.7125150856847384
1	0	2	0	68831.40814768514	-1.7125150856847384
1	0	2	1	4492.983783271484	-1.7125150856847384
1	0	2	2	-223158.808639837	-1.7125150856847384
1	0	2	3	2264.09275589104	-1.7125150856847384
1	1	0	0	-19384.761188947552	-1.7125150856847384
1	1	0	1	95.11247614937416	-1.7125150856847384
1	1	0	3	-191.1365818343083	-1.7125150856847384
1	1	1	0	57704.08825705997	-1.7125150856847384
1	1	1	1	-3302.787537987593	-1.7125150856847384
1	1	1	2	-107753.6576883773	-1.7125150856847384
1	1	1	3	2009.619604815007	-1.7125150856847384
1	1	2	0	-678330.0266571678	-1.7125150856847384
1	1	2	1	-3886.8251010802223	-1.7125150856847384
1	1	2	2	-342702.5084780218	-1.7125150856847384
1	1	2	3	-5750.092959009523	-1.7125150856847384
1	2	0	0	24777.03979411579	-1.7125150856847384
1	2	0	1	428.8837598349844	-1.7125150856847384
1	2	0	3	-199.17829323032694	-1.7125150856847384
1	2	1	0	416789.109489701	-1.7125150856847384
1	2	1	1	229.43449203913985	-1.7125150856847384
1	2	1	2	308050.59788434365	-1.7125150856847384
1	2	1	3	2260.029821100342	-1.7125150856847384
1	2	2	0	2.0546847530712986e6	-1.7125150856847384
1	2	2	1	41027.97460513895	-1.7125150856847384
1	2	2	2	155022.48658693713	-1.7125150856847384
1	2	2	3	-2479.6030357141653	-1.7125150856847384
1	3	0	0	25971.168252349387	-1.7125150856847384
1	3	0	1	-1112.9696807388573	-1.7125150856847384
1	3	0	3	1242.5770126467264	-1.7125150856847384
1	3	1	0	456460.46049181564	-1.7125150856847384
1	3	1	1	13092.479379305189	-1.7125150856847384
1	3	1	2	482458.99576341215	-1.7125150856847384
1	3	1	3	-9456.045164273175	-1.7125150856847384
1	3	2	0	969271.6085260129	-1.7125150856847384
1	3	2	1	35790.56680140691	-1.7125150856847384
1	3	2	2	61518.00506602295	-1.7125150856847384
1	3	2	3	88559.85178617883	-1.7125150856847384
2	0	0	0	17427.099788006686	-1.7125150856847384
2	0	0	1	620.8239771990903	-1.7125150856847384
2	0	0	3	-163.94282634526343	-1.7125150856847384
2	0	1	0	318334.39540567616	-1.7125150856847384
2	0	1	1	1114.7198395483701	-1.7125150856847384
2	0	1	2	-6378.812566870408	-1.7125150856847384
2	0	1	3	551.7245758528837	-1.7125150856847384
2	0	2	0	1.0307380539517216e6	-1.7125150856847384
2	0	2	1	22768.37270401236	-1.7125150856847384
2	0	2	2	315413.5823010857	-1.7125150856847384
2	0	2	3	-3428.071753008979	-1.7125150856847384
2	1	0	0	73547.4917008535	-1.7125150856847384
2	1	0	1	130.00872228571413	-1.7125150856847384
2	1	0	3	194.6921657958865	-1.7125150856847384
2	1	1	0	-454009.3429970278	-1.7125150856847384
2	1	1	1	-1096.5830586001246	-1.7125150856847384
2	1	1	2	-34750.970383837215	-1.7125150856847384
2	1	1	3	-589.4562056018514	-1.7125150856847384
2	1	2	0	-948279.1646757291	-1.7125150856847384
2	1	2	1	-31608.35383617417	-1.7125150856847384
2	1	2	2	-121058.04605748034	-1.7125150856847384
2	1	2	3	10288.997913229343	-1.7125150856847384
2	2	0	0	-71369.61170102446	-1.7125150856847384
2	2	0	1	652.5500054764525	-1.7125150856847384
2	2	0	3	1616.2203783353746	-1.7125150856847384
2	2	1	0	76998.71502334537	-1.7125150856847384
2	2	1	1	23919.1245740859	-1.7125150856847384
2	2	1	2	-1.1234319104271198e6	-1.7125150856847384
2	2	1	3	-8257.089132012132	-1.7125150856847384
2	2	2	0	3.143538048171334e6	-1.7125150856847384
2	2	2	1	-27259.14737692698	-1.7125150856847384
2	2	2	2	2.9671492685630424e6	-1.7125150856847384
2	2	2	3	86362.81847816239	-1.7125150856847384
2	3	0	0	54918.864721422826	-1.7125150856847384
2	3	0	1	2784.9544708682465	-1.7125150856847384
2	3	0	3	-3638.9057010654433	-1.7125150856847384
2	3	1	0	642218.1069719855	-1.7125150856847384
2	3	1	1	-51794.49261749574	-1.7125150856847384
2	3	1	2	395676.07115641766	-1.7125150856847384
2	3	1	3	26514.493686716032	-1.7125150856847384
2	3	2	0	2.175376465779772e6	-1.7125150856847384
2	3	2	1	-1763.7362211322115	-1.7125150856847384
2	3	2	2	524181.48498044926	-1.7125150856847384
2	3	2	3	-237662.54538461208	-1.7125150856847384
3	0	0	0	26346.087010522217	-1.7125150856847384
3	0	0	1	-427.135611201434	-1.7125150856847384
3	0	0	3	411.14021370488564	-1.7125150856847384
3	0	1	0	259704.42178040967	-1.7125150856847384
3	0	1	1	-78.37223786758089	-1.7125150856847384
3	0	1	2	365961.9048002299	-1.7125150856847384
3	0	1	3	1549.3018648150417	-1.7125150856847384
3	0	2	0	197241.31453074436	-1.7125150856847384
3	0	2	1	-11003.800624981288	-1.7125150856847384
3	0	2	2	641093.7331975617	-1.7125150856847384
3	0	2	3	29432.194451220144	-1.7125150856847384
3	1	0	0	3611.8083895536124	-1.7125150856847384
3	1	0	1	-2470.271962296533	-1.7125150856847384
3	1	0	3	2347.659978224212	-1.7125150856847384
3	1	1	0	215371.59093372742	-1.7125150856847384
3	1	1	1	4512.8793322315605	-1.7125150856847384
3	1	1	2	-73017.76425554944	-1.7125150856847384
3	1	1	3	-15254.379355183688	-1.7125150856847384
3	1	2	0	-33961.40469029532	-1.7125150856847384
3	1	2	1	-21996.073794914613	-1.7125150856847384
3	1	2	2	311970.3943643935	-1.7125150856847384
3	1	2	3	-22642.019900314946	-1.7125150856847384
3	2	0	0	-370380.3763963728	-1.7125150856847384
3	2	0	1	-6945.465408159035	-1.7125150856847384
3	2	0	3	6049.900783809627	-1.7125150856847384
3	2	1	0	-1.064301794413298e6	-1.7125150856847384
3	2	1	1	7154.990337429167	-1.7125150856847384
3	2	1	2	-338203.66307451815	-1.7125150856847384
3	2	1	3	-44995.38749678815	-1.7125150856847384
3	2	2	0	-1.1378903964096818e6	-1.7125150856847384
3	2	2	1	548959.866590854	-1.7125150856847384
3	2	2	2	1.7206361257194912e6	-1.7125150856847384
3	2	2	3	245843.54855923585	-1.7125150856847384
3	3	0	0	146041.6485300389	-1.7125150856847384
3	3	0	1	4316.910076954528	-1.7125150856847384
3	3	0	3	-28429.035474700388	-1.7125150856847384
3	3	1	0	978935.3852191222	-1.7125150856847384
3	3	1	1	-138568.24346765797	-1.7125150856847384
