x=chi_perp	y=chi_par	z=eta	v=Mtot	data=Log10[Mean[Mismatch]]	Overall_Training_Rel.Diff. = 0.00507569
x=chi_perp	y=chi_par	z=eta	v=Mtot	Overall_chiSqDoF. = 0.65691	Overall_reduced_Rsq = 0.989687
Coefs_below_for_fit(x,y,z,v)	Use_these_directly	x=x	y=y	z=z	v=v
i	j	k	l	C[i,j,k,l]	Max[Log10[Mismatch]]
0	0	0	2	1	-1.1889296889307692
1	0	0	2	1	-1.1889296889307692
2	0	0	2	1	-1.1889296889307692
3	0	0	2	1	-1.1889296889307692
4	0	0	2	1	-1.1889296889307692
0	1	0	2	1	-1.1889296889307692
1	1	0	2	1	-1.1889296889307692
2	1	0	2	1	-1.1889296889307692
3	1	0	2	1	-1.1889296889307692
4	1	0	2	1	-1.1889296889307692
0	2	0	2	1	-1.1889296889307692
1	2	0	2	1	-1.1889296889307692
2	2	0	2	1	-1.1889296889307692
3	2	0	2	1	-1.1889296889307692
4	2	0	2	1	-1.1889296889307692
0	3	0	2	1	-1.1889296889307692
1	3	0	2	1	-1.1889296889307692
2	3	0	2	1	-1.1889296889307692
3	3	0	2	1	-1.1889296889307692
4	3	0	2	1	-1.1889296889307692
0	0	0	0	2838.3214342580354	-1.1889296889307692
0	0	0	1	14.877519633081913	-1.1889296889307692
0	0	0	3	9.726258400542532	-1.1889296889307692
0	0	1	0	-17034.655683009052	-1.1889296889307692
0	0	1	1	-367.3833337717262	-1.1889296889307692
0	0	1	2	-480.9142191096277	-1.1889296889307692
0	0	1	3	-7.450580992284293e-9	-1.1889296889307692
0	0	2	0	-37762.189491101	-1.1889296889307692
0	0	2	1	-447.8043061749714	-1.1889296889307692
0	0	2	2	-26995.72560496545	-1.1889296889307692
0	0	2	3	-343.6362851600974	-1.1889296889307692
0	1	0	0	140.52734373792086	-1.1889296889307692
0	1	0	1	-26.836359458282406	-1.1889296889307692
0	1	0	3	-23.178895825635117	-1.1889296889307692
0	1	1	0	-1893.043284047413	-1.1889296889307692
0	1	1	1	329.1466892765532	-1.1889296889307692
0	1	1	2	-56259.0812159755	-1.1889296889307692
0	1	1	3	-136.5724186984845	-1.1889296889307692
0	1	2	0	-45715.59501587923	-1.1889296889307692
0	1	2	1	3254.8638467549044	-1.1889296889307692
0	1	2	2	-577973.9939244062	-1.1889296889307692
0	1	2	3	-1618.0534652700246	-1.1889296889307692
0	2	0	0	20814.641608365382	-1.1889296889307692
0	2	0	1	208.51543285969265	-1.1889296889307692
0	2	0	3	-16.247614660409436	-1.1889296889307692
0	2	1	0	168507.37866549467	-1.1889296889307692
0	2	1	1	695.2443866012418	-1.1889296889307692
0	2	1	2	138140.5207086601	-1.1889296889307692
0	2	1	3	-4.905465604448413	-1.1889296889307692
0	2	2	0	-181896.32419864184	-1.1889296889307692
0	2	2	1	-4550.562559642875	-1.1889296889307692
0	2	2	2	268398.1407462986	-1.1889296889307692
0	2	2	3	2809.952401890144	-1.1889296889307692
0	3	0	0	-21594.404088419884	-1.1889296889307692
0	3	0	1	-250.9033636923862	-1.1889296889307692
0	3	0	3	-7.452210221040522e-9	-1.1889296889307692
0	3	1	0	-26865.69424711539	-1.1889296889307692
0	3	1	1	102.73337723481258	-1.1889296889307692
0	3	1	2	24443.791370153587	-1.1889296889307692
0	3	1	3	14.414458545709097	-1.1889296889307692
0	3	2	0	859737.5735455044	-1.1889296889307692
0	3	2	1	8420.62313476405	-1.1889296889307692
0	3	2	2	-139572.3918772721	-1.1889296889307692
0	3	2	3	987.5006138444769	-1.1889296889307692
1	0	0	0	-21027.703291386755	-1.1889296889307692
1	0	0	1	-148.24123588193078	-1.1889296889307692
1	0	0	3	80.04760320980546	-1.1889296889307692
1	0	1	0	-40706.5330481763	-1.1889296889307692
1	0	1	1	1375.3153627145573	-1.1889296889307692
1	0	1	2	-7.450098175984872e-9	-1.1889296889307692
1	0	1	3	-611.4650873784517	-1.1889296889307692
1	0	2	0	303176.10734339117	-1.1889296889307692
1	0	2	1	5632.071660446105	-1.1889296889307692
1	0	2	2	-7.463167485731127e-9	-1.1889296889307692
1	0	2	3	653.0684936544933	-1.1889296889307692
1	1	0	0	16051.173888844196	-1.1889296889307692
1	1	0	1	334.39797617564903	-1.1889296889307692
1	1	0	3	-227.89506773445498	-1.1889296889307692
1	1	1	0	-108522.81364632874	-1.1889296889307692
1	1	1	1	37.647229668046606	-1.1889296889307692
1	1	1	2	-387089.47752569674	-1.1889296889307692
1	1	1	3	1315.7771910348558	-1.1889296889307692
1	1	2	0	648033.8268651771	-1.1889296889307692
1	1	2	1	6984.216944969474	-1.1889296889307692
1	1	2	2	-301567.2570631705	-1.1889296889307692
1	1	2	3	-1917.0089765293785	-1.1889296889307692
1	2	0	0	-106200.36577206895	-1.1889296889307692
1	2	0	1	-375.39307504704414	-1.1889296889307692
1	2	0	3	-7.450958310412599e-9	-1.1889296889307692
1	2	1	0	-142907.66976650676	-1.1889296889307692
1	2	1	1	-2323.266929803814	-1.1889296889307692
1	2	1	2	-7.422234162953259e-9	-1.1889296889307692
1	2	1	3	-7.45056755548243e-9	-1.1889296889307692
1	2	2	0	-240882.521448563	-1.1889296889307692
1	2	2	1	23989.38253312503	-1.1889296889307692
1	2	2	2	-113375.67382019275	-1.1889296889307692
1	2	2	3	-8849.768226987715	-1.1889296889307692
1	3	0	0	68802.83517089736	-1.1889296889307692
1	3	0	1	104.04768339331143	-1.1889296889307692
1	3	0	3	720.7116636624291	-1.1889296889307692
1	3	1	0	798488.7852615127	-1.1889296889307692
1	3	1	1	9313.35000453703	-1.1889296889307692
1	3	1	2	319600.95248760725	-1.1889296889307692
1	3	1	3	-2583.9407610097915	-1.1889296889307692
1	3	2	0	2.785322042791154e6	-1.1889296889307692
1	3	2	1	-56787.50463322031	-1.1889296889307692
1	3	2	2	1.4326329779994683e6	-1.1889296889307692
1	3	2	3	-82705.14274629188	-1.1889296889307692
2	0	0	0	28729.686176103525	-1.1889296889307692
2	0	0	1	669.4729729880163	-1.1889296889307692
2	0	0	3	-171.19669578359367	-1.1889296889307692
2	0	1	0	-348.36241832549143	-1.1889296889307692
2	0	1	1	781.5879543423769	-1.1889296889307692
2	0	1	2	-150416.1237547625	-1.1889296889307692
2	0	1	3	1602.1020590279022	-1.1889296889307692
2	0	2	0	1.7851511625214717e6	-1.1889296889307692
2	0	2	1	23419.880236883004	-1.1889296889307692
2	0	2	2	308080.28658799216	-1.1889296889307692
2	0	2	3	-2740.8490417178596	-1.1889296889307692
2	1	0	0	67979.00079759097	-1.1889296889307692
2	1	0	1	-421.4692963469446	-1.1889296889307692
2	1	0	3	326.20888274884936	-1.1889296889307692
2	1	1	0	308140.3467731493	-1.1889296889307692
