x=chi_perp	y=chi_par	z=eta	v=Mtot	data=Log10[Mean[Mismatch]]	Overall_Training_Rel.Diff. = 0.00484009
x=chi_perp	y=chi_par	z=eta	v=Mtot	Overall_chiSqDoF. = 0.589013	Overall_reduced_Rsq = 0.989309
Coefs_below_for_fit(x,y,z,v)	Use_these_directly	x=x	y=y	z=z	v=v
i	j	k	l	C[i,j,k,l]	Max[Log10[Mismatch]]
0	0	0	2	1	-1.0242218345101302
1	0	0	2	1	-1.0242218345101302
2	0	0	2	1	-1.0242218345101302
3	0	0	2	1	-1.0242218345101302
4	0	0	2	1	-1.0242218345101302
0	1	0	2	1	-1.0242218345101302
1	1	0	2	1	-1.0242218345101302
2	1	0	2	1	-1.0242218345101302
3	1	0	2	1	-1.0242218345101302
4	1	0	2	1	-1.0242218345101302
0	2	0	2	1	-1.0242218345101302
1	2	0	2	1	-1.0242218345101302
2	2	0	2	1	-1.0242218345101302
3	2	0	2	1	-1.0242218345101302
4	2	0	2	1	-1.0242218345101302
0	3	0	2	1	-1.0242218345101302
1	3	0	2	1	-1.0242218345101302
2	3	0	2	1	-1.0242218345101302
3	3	0	2	1	-1.0242218345101302
4	3	0	2	1	-1.0242218345101302
0	0	0	0	5336.820290183609	-1.0242218345101302
0	0	0	1	31.096800879020964	-1.0242218345101302
0	0	0	3	-10.585446482518202	-1.0242218345101302
0	0	1	0	-33387.17426158977	-1.0242218345101302
0	0	1	1	-537.4791531686134	-1.0242218345101302
0	0	1	2	2.22620470462988	-1.0242218345101302
0	0	1	3	-0.01983131530828359	-1.0242218345101302
0	0	2	0	-56741.93306930034	-1.0242218345101302
0	0	2	1	-882.8183978094895	-1.0242218345101302
0	0	2	2	43045.99592524489	-1.0242218345101302
0	0	2	3	710.1691959970079	-1.0242218345101302
0	1	0	0	-5257.246960391724	-1.0242218345101302
0	1	0	1	-97.02282430613653	-1.0242218345101302
0	1	0	3	-11.44765492477305	-1.0242218345101302
0	1	1	0	-6397.35207148613	-1.0242218345101302
0	1	1	1	248.84062502906383	-1.0242218345101302
0	1	1	2	14726.338839921053	-1.0242218345101302
0	1	1	3	-124.54792421822775	-1.0242218345101302
0	1	2	0	177823.42462830304	-1.0242218345101302
0	1	2	1	3142.681999688341	-1.0242218345101302
0	1	2	2	-203889.6484455554	-1.0242218345101302
0	1	2	3	760.2836267876885	-1.0242218345101302
0	2	0	0	4978.4699724684115	-1.0242218345101302
0	2	0	1	94.05286654421049	-1.0242218345101302
0	2	0	3	73.13732851504487	-1.0242218345101302
0	2	1	0	120318.76766359816	-1.0242218345101302
0	2	1	1	400.1748834589778	-1.0242218345101302
0	2	1	2	70030.88472788355	-1.0242218345101302
0	2	1	3	-53.216115334126904	-1.0242218345101302
0	2	2	0	130422.94383989715	-1.0242218345101302
0	2	2	1	-492.89749229649516	-1.0242218345101302
0	2	2	2	421795.79331344535	-1.0242218345101302
0	2	2	3	580.5534877663808	-1.0242218345101302
0	3	0	0	11812.155180115024	-1.0242218345101302
0	3	0	1	213.0144985387479	-1.0242218345101302
0	3	0	3	-48.39546328003177	-1.0242218345101302
0	3	1	0	527.698419381929	-1.0242218345101302
0	3	1	1	-376.82601601877843	-1.0242218345101302
0	3	1	2	-173326.2767763547	-1.0242218345101302
0	3	1	3	-50.140559946003286	-1.0242218345101302
0	3	2	0	-727032.5104984356	-1.0242218345101302
0	3	2	1	-5014.928605337935	-1.0242218345101302
0	3	2	2	101073.85742554389	-1.0242218345101302
0	3	2	3	1873.1729247996514	-1.0242218345101302
1	0	0	0	-35334.08790572322	-1.0242218345101302
1	0	0	1	-228.9361917700121	-1.0242218345101302
1	0	0	3	-43.43247023155798	-1.0242218345101302
1	0	1	0	-7598.512722080486	-1.0242218345101302
1	0	1	1	1434.0592093012435	-1.0242218345101302
1	0	1	2	8309.348323992388	-1.0242218345101302
